Número do contrato,Data de assinatura do contrato,Valor do contrato,Duração do contrato,Nome da empresa ou fornecedor contratado,Nome da agência governamental,Valor total do contrato,Valor pago até o momento,Valor a ser pago no futuro,Data de pagamento de parcelas,Latitude,Longitude,Região,Estado,Histórico de Pagamentos
7141,2019-03-15,46547.27,4,Santos,Ministério da Educação,46547.27,11358.54,2316.689999999994,"[datetime.date(2021, 10, 27), datetime.date(2019, 8, 26), datetime.date(2020, 9, 8), datetime.date(2019, 6, 8)]",-23.5505,-46.6333,Sudeste,SP,"[{'Data Pagamento': datetime.date(2021, 10, 27), 'Valor': 24104.88}, {'Data Pagamento': datetime.date(2019, 8, 26), 'Valor': 25.37}, {'Data Pagamento': datetime.date(2020, 9, 8), 'Valor': 1167.15}, {'Data Pagamento': datetime.date(2019, 6, 8), 'Valor': 7574.64}]"
3379,2020-04-27,45544.76,2,Costela Ltda.,"Ministério da Agricultura, Pecuária e Abastecimento",45544.76,22151.63,1484.5300000000007,"[datetime.date(2021, 10, 31), datetime.date(2021, 4, 3)]",-9.9747,-67.8076,Norte,AC,"[{'Data Pagamento': datetime.date(2021, 10, 31), 'Valor': 14604.28}, {'Data Pagamento': datetime.date(2021, 4, 3), 'Valor': 7304.32}]"
2007,2022-10-27,33592.85,3,da Mata - ME,Ministério da Economia,33592.85,27980.16,389.2999999999993,"[datetime.date(2022, 11, 21), datetime.date(2024, 4, 5), datetime.date(2024, 3, 26)]",-2.53874,-44.2825,Nordeste,MA,"[{'Data Pagamento': datetime.date(2022, 11, 21), 'Valor': 578.36}, {'Data Pagamento': datetime.date(2024, 4, 5), 'Valor': 3012.95}, {'Data Pagamento': datetime.date(2024, 3, 26), 'Valor': 1632.08}]"
3392,2020-01-14,42623.98,2,Moraes,Ministério do Desenvolvimento Regional,42623.98,29479.02,5202.360000000003,"[datetime.date(2020, 10, 4), datetime.date(2020, 10, 18)]",-27.5954,-48.548,Sul,SC,"[{'Data Pagamento': datetime.date(2020, 10, 4), 'Valor': 6575.57}, {'Data Pagamento': datetime.date(2020, 10, 18), 'Valor': 1367.03}]"
1419,2022-01-07,29038.43,5,Nogueira da Rocha Ltda.,Ministério das Relações Exteriores,29038.43,11283.09,2157.4099999999994,"[datetime.date(2022, 4, 10), datetime.date(2022, 9, 19), datetime.date(2022, 7, 17), datetime.date(2025, 8, 28), datetime.date(2023, 2, 15)]",0.0356,-51.0706,Norte,AP,"[{'Data Pagamento': datetime.date(2022, 4, 10), 'Valor': 9318.2}, {'Data Pagamento': datetime.date(2022, 9, 19), 'Valor': 4108.13}, {'Data Pagamento': datetime.date(2022, 7, 17), 'Valor': 1088.7}, {'Data Pagamento': datetime.date(2025, 8, 28), 'Valor': 21.32}, {'Data Pagamento': datetime.date(2023, 2, 15), 'Valor': 1061.58}]"
7128,2019-09-01,44957.02,2,Campos,Ministério da Economia,44957.02,29755.38,1950.2899999999959,"[datetime.date(2020, 2, 15), datetime.date(2020, 2, 22)]",-20.3155,-40.3128,Sudeste,ES,"[{'Data Pagamento': datetime.date(2020, 2, 15), 'Valor': 11986.0}, {'Data Pagamento': datetime.date(2020, 2, 22), 'Valor': 1265.35}]"
5895,2022-08-13,10714.7,1,Araújo,Ministério da Economia,10714.7,6753.58,3791.3400000000006,"[datetime.date(2022, 12, 16)]",-8.04756,-34.877,Nordeste,PE,"[{'Data Pagamento': datetime.date(2022, 12, 16), 'Valor': 169.78}]"
4106,2019-03-27,25672.05,1,Rezende Freitas - ME,Ministério do Meio Ambiente,25672.05,4743.72,3099.5999999999985,"[datetime.date(2020, 1, 16)]",-20.4486,-54.6295,Centro-Oeste,MS,"[{'Data Pagamento': datetime.date(2020, 1, 16), 'Valor': 17828.73}]"
7653,2022-06-21,28965.2,4,Pinto,Ministério da Economia,28965.2,28376.32,106.78000000000097,"[datetime.date(2024, 7, 16), datetime.date(2023, 9, 3), datetime.date(2022, 6, 30), datetime.date(2023, 5, 18)]",-9.66599,-35.735,Nordeste,AL,"[{'Data Pagamento': datetime.date(2024, 7, 16), 'Valor': 336.35}, {'Data Pagamento': datetime.date(2023, 9, 3), 'Valor': 120.29}, {'Data Pagamento': datetime.date(2022, 6, 30), 'Valor': 21.78}, {'Data Pagamento': datetime.date(2023, 5, 18), 'Valor': 3.68}]"
7349,2018-11-09,22106.54,4,Oliveira e Filhos,Ministério da Defesa,22106.54,13872.6,331.400000000001,"[datetime.date(2019, 11, 26), datetime.date(2021, 11, 2), datetime.date(2020, 11, 27), datetime.date(2019, 8, 19)]",-19.9102,-43.9266,Sudeste,MG,"[{'Data Pagamento': datetime.date(2019, 11, 26), 'Valor': 2196.31}, {'Data Pagamento': datetime.date(2021, 11, 2), 'Valor': 3584.67}, {'Data Pagamento': datetime.date(2020, 11, 27), 'Valor': 127.31}, {'Data Pagamento': datetime.date(2019, 8, 19), 'Valor': 1994.25}]"
5351,2018-11-21,41203.5,5,Duarte,"Ministério da Agricultura, Pecuária e Abastecimento",41203.5,17669.62,206.93000000000205,"[datetime.date(2022, 4, 2), datetime.date(2022, 8, 17), datetime.date(2023, 3, 5), datetime.date(2023, 6, 28), datetime.date(2021, 2, 6)]",-15.601,-56.0974,Centro-Oeste,MT,"[{'Data Pagamento': datetime.date(2022, 4, 2), 'Valor': 19391.71}, {'Data Pagamento': datetime.date(2022, 8, 17), 'Valor': 430.85}, {'Data Pagamento': datetime.date(2023, 3, 5), 'Valor': 1496.89}, {'Data Pagamento': datetime.date(2023, 6, 28), 'Valor': 1687.68}, {'Data Pagamento': datetime.date(2021, 2, 6), 'Valor': 319.82}]"
1596,2019-12-07,18264.93,2,Cavalcanti Ltda.,Ministério do Desenvolvimento Regional,18264.93,4155.59,2277.21,"[datetime.date(2020, 12, 22), datetime.date(2020, 10, 24)]",0.0356,-51.0706,Norte,AP,"[{'Data Pagamento': datetime.date(2020, 12, 22), 'Valor': 3978.92}, {'Data Pagamento': datetime.date(2020, 10, 24), 'Valor': 7853.21}]"
7254,2020-04-22,47597.29,1,Fernandes,Ministério da Economia,47597.29,41577.87,2038.4499999999985,"[datetime.date(2020, 11, 27)]",-1.4554,-48.4898,Norte,PA,"[{'Data Pagamento': datetime.date(2020, 11, 27), 'Valor': 3980.97}]"
9887,2019-05-15,11560.91,5,Souza,Ministério da Educação,11560.91,2963.46,374.4300000000005,"[datetime.date(2020, 5, 15), datetime.date(2020, 4, 12), datetime.date(2024, 3, 4), datetime.date(2022, 3, 16), datetime.date(2022, 5, 31)]",-23.5505,-46.6333,Sudeste,SP,"[{'Data Pagamento': datetime.date(2020, 5, 15), 'Valor': 1415.88}, {'Data Pagamento': datetime.date(2020, 4, 12), 'Valor': 2467.63}, {'Data Pagamento': datetime.date(2024, 3, 4), 'Valor': 2194.45}, {'Data Pagamento': datetime.date(2022, 3, 16), 'Valor': 2121.09}, {'Data Pagamento': datetime.date(2022, 5, 31), 'Valor': 23.97}]"
8418,2022-08-15,49347.84,3,da Conceição e Filhos,Ministério da Educação,49347.84,38137.5,2103.699999999997,"[datetime.date(2024, 3, 28), datetime.date(2025, 6, 27), datetime.date(2022, 10, 6)]",-1.4554,-48.4898,Norte,PA,"[{'Data Pagamento': datetime.date(2024, 3, 28), 'Valor': 4223.82}, {'Data Pagamento': datetime.date(2025, 6, 27), 'Valor': 2953.73}, {'Data Pagamento': datetime.date(2022, 10, 6), 'Valor': 1929.09}]"
8799,2019-08-27,29781.18,1,Santos,Ministério das Relações Exteriores,29781.18,21214.03,3500.6100000000015,"[datetime.date(2020, 5, 1)]",-23.5505,-46.6333,Sudeste,SP,"[{'Data Pagamento': datetime.date(2020, 5, 1), 'Valor': 5066.54}]"
7621,2021-10-22,47361.59,4,da Cruz Almeida S/A,Ministério das Relações Exteriores,47361.59,1010.33,27.109999999993107,"[datetime.date(2024, 5, 8), datetime.date(2021, 12, 5), datetime.date(2024, 8, 31), datetime.date(2021, 10, 27)]",-15.7801,-47.9292,Centro-Oeste,DF,"[{'Data Pagamento': datetime.date(2024, 5, 8), 'Valor': 30215.54}, {'Data Pagamento': datetime.date(2021, 12, 5), 'Valor': 13124.2}, {'Data Pagamento': datetime.date(2024, 8, 31), 'Valor': 2983.69}, {'Data Pagamento': datetime.date(2021, 10, 27), 'Valor': 0.72}]"
6642,2023-02-10,43849.27,3,Nascimento Lima - ME,Ministério da Economia,43849.27,35990.05,809.569999999994,"[datetime.date(2023, 11, 17), datetime.date(2023, 12, 28), datetime.date(2023, 7, 25)]",-25.4195,-49.2646,Sul,PR,"[{'Data Pagamento': datetime.date(2023, 11, 17), 'Valor': 4945.75}, {'Data Pagamento': datetime.date(2023, 12, 28), 'Valor': 463.18}, {'Data Pagamento': datetime.date(2023, 7, 25), 'Valor': 1640.72}]"
3954,2020-01-21,27901.26,4,da Costa,Ministério do Meio Ambiente,27901.26,18204.8,185.30999999999892,"[datetime.date(2020, 9, 26), datetime.date(2022, 12, 20), datetime.date(2022, 4, 20), datetime.date(2021, 12, 28)]",-20.4486,-54.6295,Centro-Oeste,MS,"[{'Data Pagamento': datetime.date(2020, 9, 26), 'Valor': 6306.81}, {'Data Pagamento': datetime.date(2022, 12, 20), 'Valor': 2420.24}, {'Data Pagamento': datetime.date(2022, 4, 20), 'Valor': 454.5}, {'Data Pagamento': datetime.date(2021, 12, 28), 'Valor': 329.6}]"
6956,2021-05-08,26472.07,1,Moura,Ministério da Saúde,26472.07,23061.19,3000.690000000001,"[datetime.date(2021, 8, 17)]",2.82185,-60.6715,Norte,RR,"[{'Data Pagamento': datetime.date(2021, 8, 17), 'Valor': 410.19}]"
1047,2022-06-13,40936.62,2,Campos,Ministério da Educação,40936.62,40858.19,9.290000000000283,"[datetime.date(2022, 8, 27), datetime.date(2022, 7, 8)]",2.82185,-60.6715,Norte,RR,"[{'Data Pagamento': datetime.date(2022, 8, 27), 'Valor': 66.18}, {'Data Pagamento': datetime.date(2022, 7, 8), 'Valor': 2.96}]"
7738,2020-08-28,33446.77,3,Carvalho da Costa e Filhos,Ministério da Economia,33446.77,7083.14,394.98,"[datetime.date(2022, 4, 16), datetime.date(2021, 4, 11), datetime.date(2022, 1, 23)]",-12.9714,-38.5014,Nordeste,BA,"[{'Data Pagamento': datetime.date(2022, 4, 16), 'Valor': 53.19}, {'Data Pagamento': datetime.date(2021, 4, 11), 'Valor': 23820.69}, {'Data Pagamento': datetime.date(2022, 1, 23), 'Valor': 2094.77}]"
8683,2021-09-20,31250.45,5,Vieira - ME,Ministério da Defesa,31250.45,60.15,8.609999999997939,"[datetime.date(2023, 9, 7), datetime.date(2026, 9, 16), datetime.date(2024, 4, 23), datetime.date(2023, 6, 27), datetime.date(2023, 7, 15)]",-7.11509,-34.8641,Nordeste,PB,"[{'Data Pagamento': datetime.date(2023, 9, 7), 'Valor': 30463.06}, {'Data Pagamento': datetime.date(2026, 9, 16), 'Valor': 116.62}, {'Data Pagamento': datetime.date(2024, 4, 23), 'Valor': 271.17}, {'Data Pagamento': datetime.date(2023, 6, 27), 'Valor': 164.73}, {'Data Pagamento': datetime.date(2023, 7, 15), 'Valor': 166.11}]"
9693,2019-08-16,15512.91,1,da Rocha Lima - EI,Ministério da Economia,15512.91,9588.28,3341.099999999999,"[datetime.date(2019, 10, 22)]",-12.9714,-38.5014,Nordeste,BA,"[{'Data Pagamento': datetime.date(2019, 10, 22), 'Valor': 2583.53}]"
9697,2021-07-10,35444.56,1,da Cunha,Ministério da Economia,35444.56,27774.89,3755.809999999998,"[datetime.date(2022, 6, 29)]",2.82185,-60.6715,Norte,RR,"[{'Data Pagamento': datetime.date(2022, 6, 29), 'Valor': 3913.86}]"
4236,2022-11-13,34512.1,1,Lopes,Ministério do Desenvolvimento Regional,34512.1,6575.47,3504.5499999999956,"[datetime.date(2023, 7, 9)]",-20.3155,-40.3128,Sudeste,ES,"[{'Data Pagamento': datetime.date(2023, 7, 9), 'Valor': 24432.08}]"
7799,2020-10-11,36124.39,4,Melo,Ministério do Desenvolvimento Regional,36124.39,29717.31,464.46999999999844,"[datetime.date(2024, 2, 3), datetime.date(2020, 11, 29), datetime.date(2024, 8, 6), datetime.date(2024, 1, 2)]",-25.4195,-49.2646,Sul,PR,"[{'Data Pagamento': datetime.date(2024, 2, 3), 'Valor': 4245.4}, {'Data Pagamento': datetime.date(2020, 11, 29), 'Valor': 1535.97}, {'Data Pagamento': datetime.date(2024, 8, 6), 'Valor': 140.01}, {'Data Pagamento': datetime.date(2024, 1, 2), 'Valor': 21.23}]"
6391,2022-05-26,30556.4,3,Ribeiro Peixoto - ME,"Ministério da Agricultura, Pecuária e Abastecimento",30556.4,8203.43,708.3999999999996,"[datetime.date(2024, 8, 3), datetime.date(2022, 6, 30), datetime.date(2025, 3, 30)]",-10.2128,-48.3607,Norte,TO,"[{'Data Pagamento': datetime.date(2024, 8, 3), 'Valor': 7306.4}, {'Data Pagamento': datetime.date(2022, 6, 30), 'Valor': 5205.05}, {'Data Pagamento': datetime.date(2025, 3, 30), 'Valor': 9133.12}]"
6177,2021-10-03,37443.5,4,Souza,Ministério da Saúde,37443.5,35694.12,451.05999999999733,"[datetime.date(2025, 5, 13), datetime.date(2022, 7, 11), datetime.date(2024, 1, 9), datetime.date(2024, 3, 26)]",-15.601,-56.0974,Centro-Oeste,MT,"[{'Data Pagamento': datetime.date(2025, 5, 13), 'Valor': 927.58}, {'Data Pagamento': datetime.date(2022, 7, 11), 'Valor': 103.06}, {'Data Pagamento': datetime.date(2024, 1, 9), 'Valor': 20.16}, {'Data Pagamento': datetime.date(2024, 3, 26), 'Valor': 247.52}]"
9002,2023-01-23,37513.9,4,Nascimento,Ministério do Desenvolvimento Regional,37513.9,8305.97,857.28,"[datetime.date(2023, 6, 21), datetime.date(2026, 5, 27), datetime.date(2023, 12, 5), datetime.date(2025, 7, 24)]",-15.601,-56.0974,Centro-Oeste,MT,"[{'Data Pagamento': datetime.date(2023, 6, 21), 'Valor': 21459.61}, {'Data Pagamento': datetime.date(2026, 5, 27), 'Valor': 1878.28}, {'Data Pagamento': datetime.date(2023, 12, 5), 'Valor': 3564.6}, {'Data Pagamento': datetime.date(2025, 7, 24), 'Valor': 1448.16}]"
1715,2022-02-20,29301.42,5,Teixeira - EI,Ministério do Desenvolvimento Regional,29301.42,18882.3,113.82999999999845,"[datetime.date(2022, 10, 18), datetime.date(2024, 8, 27), datetime.date(2022, 11, 5), datetime.date(2026, 3, 8), datetime.date(2025, 10, 27)]",-16.6864,-49.2643,Centro-Oeste,GO,"[{'Data Pagamento': datetime.date(2022, 10, 18), 'Valor': 1347.25}, {'Data Pagamento': datetime.date(2024, 8, 27), 'Valor': 3633.76}, {'Data Pagamento': datetime.date(2022, 11, 5), 'Valor': 4377.47}, {'Data Pagamento': datetime.date(2026, 3, 8), 'Valor': 815.2}, {'Data Pagamento': datetime.date(2025, 10, 27), 'Valor': 131.61}]"
3657,2023-03-26,46349.37,5,Moraes,Ministério da Educação,46349.37,12367.95,455.6599999999982,"[datetime.date(2027, 11, 2), datetime.date(2024, 7, 23), datetime.date(2027, 2, 1), datetime.date(2023, 5, 1), datetime.date(2028, 1, 8)]",-23.5505,-46.6333,Sudeste,SP,"[{'Data Pagamento': datetime.date(2027, 11, 2), 'Valor': 7514.36}, {'Data Pagamento': datetime.date(2024, 7, 23), 'Valor': 14412.35}, {'Data Pagamento': datetime.date(2027, 2, 1), 'Valor': 11453.21}, {'Data Pagamento': datetime.date(2023, 5, 1), 'Valor': 126.83}, {'Data Pagamento': datetime.date(2028, 1, 8), 'Valor': 19.01}]"
3090,2019-06-10,16302.79,1,da Mota da Mota - EI,Ministério do Desenvolvimento Regional,16302.79,1857.06,4593.140000000001,"[datetime.date(2019, 8, 16)]",-7.11509,-34.8641,Nordeste,PB,"[{'Data Pagamento': datetime.date(2019, 8, 16), 'Valor': 9852.59}]"
7451,2023-04-25,31644.48,2,Castro,Ministério da Economia,31644.48,2662.11,18368.85,"[datetime.date(2025, 4, 22), datetime.date(2024, 1, 19)]",-23.5505,-46.6333,Sudeste,SP,"[{'Data Pagamento': datetime.date(2025, 4, 22), 'Valor': 4195.36}, {'Data Pagamento': datetime.date(2024, 1, 19), 'Valor': 6418.16}]"
8328,2020-11-29,47665.2,4,Ribeiro Almeida e Filhos,Ministério da Economia,47665.2,7312.25,27.21999999999987,"[datetime.date(2021, 10, 15), datetime.date(2021, 2, 25), datetime.date(2022, 7, 13), datetime.date(2023, 6, 30)]",-15.7801,-47.9292,Centro-Oeste,DF,"[{'Data Pagamento': datetime.date(2021, 10, 15), 'Valor': 37207.13}, {'Data Pagamento': datetime.date(2021, 2, 25), 'Valor': 2720.41}, {'Data Pagamento': datetime.date(2022, 7, 13), 'Valor': 329.46}, {'Data Pagamento': datetime.date(2023, 6, 30), 'Valor': 68.73}]"
7735,2022-02-06,34033.72,2,Fernandes,Ministério da Justiça,34033.72,14913.1,575.4000000000033,"[datetime.date(2022, 6, 5), datetime.date(2022, 4, 20)]",-15.7801,-47.9292,Centro-Oeste,DF,"[{'Data Pagamento': datetime.date(2022, 6, 5), 'Valor': 16099.38}, {'Data Pagamento': datetime.date(2022, 4, 20), 'Valor': 2445.84}]"
